0	2
0	-2
0	0
1	0
1	0
2	0
2	1
3	1
3	1
4	1
4	-1
5	-1
5	-1
6	-1
6	-1
7	-1
7	0
8	0
8	1
9	1
9	0
10	0
10	0
11	0
11	1
12	1
12	0
13	0
13	0
14	0
14	1
15	1
15	-1
16	-1
16	-1
17	-1
17	0
18	0
18	0
19	0
19	1
20	1
20	0
21	0
21	0
22	0
22	-1
23	-1
23	0
24	0
24	0
25	0
25	1
26	1
26	0
27	0
27	-1
28	-1
28	0
29	0
29	1
30	1
30	0
31	0
31	0
32	0
32	-1
33	-1
33	-1
34	-1
34	0
35	0
35	1
36	1
36	1
37	1
37	-1
38	-1
38	-1
39	-1
39	1
40	1
40	-1
41	-1
41	1
42	1
42	0
43	0
43	0
44	0
44	-1
45	-1
45	1
46	1
46	1
47	1
47	0
48	0
48	1
49	1
49	0
50	0
50	1
51	1
51	0
52	0
52	-1
53	-1
53	-1
54	-1
54	-1
55	-1
55	0
56	0
56	0
57	0
57	-1
58	-1
58	1
59	1
59	1
60	1
